label,area,centroid_row,centroid_col,major_axis_length,minor_axis_length,axis_difference,aspect_ratio,eccentricity,solidity,touches_border,sickle_candidate,min_row,min_col,max_row,max_col
119,356.0,470.185393258427,4.28932584269663,46.56685928736156,12.060620181972963,34.506239105388595,3.8610667266485312,0.9658784521871426,0.8221709006928406,True,True,448,0,491,12
4,313.0,3.8338658146964857,557.3482428115016,41.14997137336142,11.706369721498648,29.44360165186277,3.5151778350029255,0.9586817886944555,0.9152046783625731,True,True,0,538,12,583
114,427.0,461.27166276346605,77.41217798594847,53.23896168728314,17.672789253869908,35.56617243341323,3.012482122799326,0.9432962164286536,0.5398230088495575,False,True,442,59,486,96
107,2715.0,430.0475138121547,887.5300184162063,117.60409325691015,39.43037558797695,78.1737176689332,2.982576034420778,0.9421183008606105,0.7566889632107023,False,True,411,841,460,946
86,3126.0,325.93793985924503,285.1903390914907,117.27595237020397,42.70774580071971,74.56820656948426,2.7460112954083296,0.9313346186806032,0.8157620041753654,False,True,292,242,363,341
167,1380.0,700.240579710145,551.9123188405797,68.77999858444069,26.17503189337725,42.60496669106344,2.6276949294508123,0.9247555389461845,0.9504132231404959,False,True,681,518,721,584
109,1426.0,445.109396914446,188.6234221598878,67.70479874815796,26.97837260979432,40.726426138363635,2.5095953609736332,0.9171811005297469,0.9576897246474144,False,True,428,158,465,220
94,1085.0,376.4552995391705,10.04700460829493,61.41597717382005,24.791913967723353,36.6240632060967,2.477258401823177,0.914903748324185,0.8944765045342127,True,True,351,0,413,29
177,2876.0,749.6964534075104,786.375521557719,107.90435408911715,44.49164846699827,63.41270562211888,2.425272108520666,0.9110368839471782,0.8295356215748486,True,True,720,711,767,830
134,2379.0,540.8112652374947,82.79991593106347,94.0342279640569,39.12135534684882,54.91287261720807,2.4036546569093047,0.909349451245012,0.7980543441798055,False,True,505,53,576,124
145,497.0,591.7605633802817,38.50905432595574,41.42544994815558,18.178951322050764,23.246498626104817,2.2787590556946595,0.8985674967895437,0.7888888888888889,False,True,570,30,611,55
101,2838.0,414.3967582804792,241.26638477801268,96.12619240838615,43.21220757825464,52.913984830131504,2.224514733118125,0.8932620916958495,0.8396449704142012,False,True,376,212,458,270
17,3561.0,36.43190115136198,875.7264813254703,106.41166482070074,48.495971628366746,57.91569319233399,2.1942371963624576,0.8901133309331355,0.8448398576512456,False,True,7,826,69,923
142,2085.0,579.6297362110312,400.56402877697843,90.85969939844799,43.06278704081947,47.796912357628514,2.1099354138951,0.8805527496054848,0.6940745672436751,False,True,542,362,603,454
